cohort	subject	modality	gene	source	source_accession	input_type	read1_url	read2_url	access_class	independence_stratum	gate_status	exclusion_reason
AFGR_MKK_GATED_PILOT	NA21298	rnaseq	C	ENCODE	ENCSR427TCZ	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21298	wgs	A	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21298	wgs	B	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21298	wgs	C	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21300	rnaseq	A	ENCODE	ENCSR929NBE	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21300	rnaseq	B	ENCODE	ENCSR929NBE	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21300	rnaseq	C	ENCODE	ENCSR929NBE	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21300	wgs	A	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21300	wgs	B	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21300	wgs	C	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21301	rnaseq	A	ENCODE	ENCSR223TPI	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21301	rnaseq	B	ENCODE	ENCSR223TPI	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21301	rnaseq	C	ENCODE	ENCSR223TPI	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21301	wgs	A	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21301	wgs	B	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21301	wgs	C	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21303	rnaseq	A	ENCODE	ENCSR237NBV	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21303	rnaseq	B	ENCODE	ENCSR237NBV	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21303	rnaseq	C	ENCODE	ENCSR237NBV	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21303	wgs	A	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21303	wgs	B	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21303	wgs	C	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21304	rnaseq	A	ENCODE	ENCSR095WQC	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21304	rnaseq	B	ENCODE	ENCSR095WQC	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21304	rnaseq	C	ENCODE	ENCSR095WQC	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21304	wgs	A	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21304	wgs	B	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21304	wgs	C	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21306	rnaseq	A	ENCODE	ENCSR608WYC	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21306	rnaseq	B	ENCODE	ENCSR608WYC	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21306	rnaseq	C	ENCODE	ENCSR608WYC	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21306	wgs	A	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21306	wgs	B	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21306	wgs	C	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21307	rnaseq	A	ENCODE	ENCSR543HAT	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21307	rnaseq	B	ENCODE	ENCSR543HAT	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21307	rnaseq	C	ENCODE	ENCSR543HAT	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21307	wgs	A	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21307	wgs	B	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21307	wgs	C	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21308	rnaseq	A	ENCODE	ENCSR108RIM	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21308	rnaseq	B	ENCODE	ENCSR108RIM	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21308	rnaseq	C	ENCODE	ENCSR108RIM	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21308	wgs	A	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21308	wgs	B	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21308	wgs	C	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21316	rnaseq	A	ENCODE	ENCSR424DGE	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21316	rnaseq	B	ENCODE	ENCSR424DGE	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21316	rnaseq	C	ENCODE	ENCSR424DGE	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21316	wgs	A	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21316	wgs	B	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21316	wgs	C	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21318	rnaseq	A	ENCODE	ENCSR195DEV	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21318	rnaseq	B	ENCODE	ENCSR195DEV	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21318	rnaseq	C	ENCODE	ENCSR195DEV	fastq			mixed	donor_independent	blocked_truth_crosswalk	EGA truth file not opened; donor-level mapping unverified
AFGR_MKK_GATED_PILOT	NA21318	wgs	A	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21318	wgs	B	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
AFGR_MKK_GATED_PILOT	NA21318	wgs	C	AFGR_publication		unresolved			unresolved	donor_independent	blocked_raw_accession	AFGR reports WGS but ENCODE AFGR collection has no WGS experiment
NCI60_PUBLIC_PILOT	DU-145	rnaseq	A	ENA/SRA	SRR6756019	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/009/SRR6756019/SRR6756019_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/009/SRR6756019/SRR6756019_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	DU-145	rnaseq	B	ENA/SRA	SRR6756019	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/009/SRR6756019/SRR6756019_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/009/SRR6756019/SRR6756019_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	DU-145	rnaseq	C	ENA/SRA	SRR6756019	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/009/SRR6756019/SRR6756019_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/009/SRR6756019/SRR6756019_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	EKVX	rnaseq	A	ENA/SRA	SRR6756001	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/001/SRR6756001/SRR6756001_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/001/SRR6756001/SRR6756001_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	EKVX	rnaseq	B	ENA/SRA	SRR6756001	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/001/SRR6756001/SRR6756001_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/001/SRR6756001/SRR6756001_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	EKVX	rnaseq	C	ENA/SRA	SRR6756001	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/001/SRR6756001/SRR6756001_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/001/SRR6756001/SRR6756001_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	HL-60	rnaseq	A	ENA/SRA	SRR6756015	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6756015/SRR6756015_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6756015/SRR6756015_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	HL-60	rnaseq	B	ENA/SRA	SRR6756015	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6756015/SRR6756015_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6756015/SRR6756015_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	HL-60	rnaseq	C	ENA/SRA	SRR6756015	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6756015/SRR6756015_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6756015/SRR6756015_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	LOX-IMVI	rnaseq	A	ENA/SRA	SRR6755973	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/003/SRR6755973/SRR6755973_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/003/SRR6755973/SRR6755973_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	LOX-IMVI	rnaseq	B	ENA/SRA	SRR6755973	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/003/SRR6755973/SRR6755973_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/003/SRR6755973/SRR6755973_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	LOX-IMVI	rnaseq	C	ENA/SRA	SRR6755973	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/003/SRR6755973/SRR6755973_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/003/SRR6755973/SRR6755973_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	NCI-H23	rnaseq	A	ENA/SRA	SRR6755995	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6755995/SRR6755995_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6755995/SRR6755995_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	NCI-H23	rnaseq	B	ENA/SRA	SRR6755995	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6755995/SRR6755995_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6755995/SRR6755995_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	NCI-H23	rnaseq	C	ENA/SRA	SRR6755995	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6755995/SRR6755995_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6755995/SRR6755995_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	NCI-H322M	rnaseq	A	ENA/SRA	SRR6755977	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755977/SRR6755977_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755977/SRR6755977_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	NCI-H322M	rnaseq	B	ENA/SRA	SRR6755977	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755977/SRR6755977_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755977/SRR6755977_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	NCI-H322M	rnaseq	C	ENA/SRA	SRR6755977	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755977/SRR6755977_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755977/SRR6755977_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	OVCAR-8	rnaseq	A	ENA/SRA	SRR6755984	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755984/SRR6755984_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755984/SRR6755984_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	OVCAR-8	rnaseq	B	ENA/SRA	SRR6755984	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755984/SRR6755984_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755984/SRR6755984_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	OVCAR-8	rnaseq	C	ENA/SRA	SRR6755984	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755984/SRR6755984_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755984/SRR6755984_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	RPMI-8226	rnaseq	A	ENA/SRA	SRR6755967	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755967/SRR6755967_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755967/SRR6755967_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	RPMI-8226	rnaseq	B	ENA/SRA	SRR6755967	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755967/SRR6755967_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755967/SRR6755967_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	RPMI-8226	rnaseq	C	ENA/SRA	SRR6755967	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755967/SRR6755967_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/007/SRR6755967/SRR6755967_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	SF-295	rnaseq	A	ENA/SRA	SRR6755994	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755994/SRR6755994_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755994/SRR6755994_2.fastq.gz	public	donor_independent	blocked_truth_ambiguity	strict A/B/C truth contains a one-field, ambiguous, novel, or unresolved call
NCI60_PUBLIC_PILOT	SF-295	rnaseq	B	ENA/SRA	SRR6755994	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755994/SRR6755994_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755994/SRR6755994_2.fastq.gz	public	donor_independent	blocked_truth_ambiguity	strict A/B/C truth contains a one-field, ambiguous, novel, or unresolved call
NCI60_PUBLIC_PILOT	SF-295	rnaseq	C	ENA/SRA	SRR6755994	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755994/SRR6755994_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/004/SRR6755994/SRR6755994_2.fastq.gz	public	donor_independent	blocked_truth_ambiguity	strict A/B/C truth contains a one-field, ambiguous, novel, or unresolved call
NCI60_PUBLIC_PILOT	SF-295	wes	A	ENA/SRA	SRR8619087	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8619087/SRR8619087_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8619087/SRR8619087_2.fastq.gz	public	donor_independent	blocked_truth_ambiguity	strict A/B/C truth contains a one-field, ambiguous, novel, or unresolved call
NCI60_PUBLIC_PILOT	SF-295	wes	B	ENA/SRA	SRR8619087	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8619087/SRR8619087_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8619087/SRR8619087_2.fastq.gz	public	donor_independent	blocked_truth_ambiguity	strict A/B/C truth contains a one-field, ambiguous, novel, or unresolved call
NCI60_PUBLIC_PILOT	SF-295	wes	C	ENA/SRA	SRR8619087	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8619087/SRR8619087_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8619087/SRR8619087_2.fastq.gz	public	donor_independent	blocked_truth_ambiguity	strict A/B/C truth contains a one-field, ambiguous, novel, or unresolved call
NCI60_PUBLIC_PILOT	SK-MEL-28	rnaseq	A	ENA/SRA	SRR6755965	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6755965/SRR6755965_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6755965/SRR6755965_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	SK-MEL-28	rnaseq	B	ENA/SRA	SRR6755965	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6755965/SRR6755965_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6755965/SRR6755965_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	SK-MEL-28	rnaseq	C	ENA/SRA	SRR6755965	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6755965/SRR6755965_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/005/SRR6755965/SRR6755965_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	T47D	rnaseq	A	ENA/SRA	SRR6755992	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6755992/SRR6755992_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6755992/SRR6755992_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	T47D	rnaseq	B	ENA/SRA	SRR6755992	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6755992/SRR6755992_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6755992/SRR6755992_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	T47D	rnaseq	C	ENA/SRA	SRR6755992	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6755992/SRR6755992_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6755992/SRR6755992_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	TK-10	rnaseq	A	ENA/SRA	SRR6755962	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6755962/SRR6755962_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6755962/SRR6755962_2.fastq.gz	public	donor_independent	ready	
NCI60_PUBLIC_PILOT	TK-10	rnaseq	B	ENA/SRA	SRR6755962	fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6755962/SRR6755962_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR675/002/SRR6755962/SRR6755962_2.fastq.gz	public	donor_independent	ready	
